"","item1","item2","n"
"1","abençoe","bolsonaro",61
"2","sempre","bolsonaro",52
"3","povo","bolsonaro",46
"4","sempre","abençoe",41
"5","2022","bolsonaro",39
"6","jesus","abençoe",34
"7","abençoe","fé",31
"8","povo","brasileiro",30
"9","abençoe","gentileza",30
"10","bolsonaro","messias",30
"11","jesus","ajudar",29
"12","abençoe","ajudar",29
"13","jesus","abençoa",29
"14","abençoe","abençoa",29
"15","ajudar","abençoa",29
"16","jesus","gentileza",29
"17","ajudar","gentileza",29
"18","abençoa","gentileza",29
"19","jesus","fé",29
"20","ajudar","fé",29
"21","abençoa","fé",29
"22","gentileza","fé",29
"23","abençoe","proteja",25
"24","governadores","prefeitos",23
"25","eleições","bolsonaro",19
"26","sempre","proteja",19
"27","bolsonaro","esquerda",18
"28","querido","bolsonaro",17
"29","bolsonaro","proteja",17
"30","bolsonaro","trump",17
"31","sempre","povo",16
"32","bolsonaro","brasileiro",16
"33","bolsonaro","nunca",15
"34","jesus","cristo",14
"35","puxa","saco",14
"36","estados","unidos",14
"37","sempre","querido",12
"38","povo","abençoe",12
"39","querido","abençoe",12
"40","voto","bolsonaro",12
"41","povo","esquerda",12
"42","eleições","2022",11
"43","bolsonaro","sp",11
"44","abençoe","vida",11
"45","bolsonaro","nação",11
"46","povo","nunca",11
"47","bolsonaro","orgulho",11
"48","paulo","russomano",11
"49","eleições","povo",10
"50","povo","2022",10
"51","paulo","bolsonaro",10
"52","política","corrupção",10
"53","abençoe","messias",10
"54","jesus","povo",9
"55","bolsonaro","família",9
"56","bolsonaro","prefeito",9
"57","bolsonaro","prefeitos",9
"58","baba","ovo",9
"59","bolsonaro","lula",9
"60","bolsonaro","mal",9
"61","bolsonaro","direita",9
"62","fechar","eleições",8
"63","república","bolsonaro",8
"64","povo","vida",8
"65","povo","poder",8
"66","bolsonaro","poder",8
"67","paulo","prefeito",8
"68","povo","prefeito",8
"69","cidade","prefeito",8
"70","eleições","vote",8
"71","povo","prefeitos",8
"72","bolsonaro","filhos",8
"73","bolsonaro","comunistas",8
"74","bolsonaro","comunista",8
"75","segunda","onda",8
"76","rio","janeiro",8
"77","bolsonaro","eua",8
"78","política","combate",8
"79","corrupção","combate",8
"80","sempre","messias",8
"81","política","nova",8
"82","corrupção","nova",8
"83","combate","nova",8
"84","política","cumprir",8
"85","corrupção","cumprir",8
"86","combate","cumprir",8
"87","nova","cumprir",8
"88","voto","impresso",7
"89","voto","2022",7
"90","quero","bolsonaro",7
"91","ja","bolsonaro",7
"92","dias","bolsonaro",7
"93","jesus","bolsonaro",7
"94","grande","bolsonaro",7
"95","fechar","bolsonaro",7
"96","força","bolsonaro",7
"97","bolsonaro","votem",7
"98","bolsonaro","contigo",7
"99","povo","fica",7
"100","sempre","vida",7
"101","bolsonaro","verdade",7
"102","povo","foto",7
"103","bolsonaro","candidato",7
"104","bolsonaro","tô",7
"105","povo","vote",7
"106","eleições","esquerda",7
"107","2022","esquerda",7
"108","povo","besta",7
"109","povo","políticos",7
"110","povo","acorda",7
"111","bolsonaro","stf",7
"112","bolsonaro","governadores",7
"113","stf","prefeitos",7
"114","bolsonaro","certo",7
"115","bolsonaro","lá",7
"116","prefeitos","vereadores",7
"117","bolsonaro","junto",7
"118","povo","casa",7
"119","bolsonaro","corrupção",7
"120","bolsonaro","russomano",7
"121","campanha","cumprir",7
"122","amado","bolsonaro",6
"123","bolsonaro","fica",6
"124","bolsonaro","pr",6
"125","bolsonaro","política",6
"126","bolsonaro","pt",6
"127","bolsonaro","vida",6
"128","bolsonaro","filho",6
"129","querido","proteja",6
"130","povo","governo",6
"131","povo","nação",6
"132","bolsonaro","brasileira",6
"133","bolsonaro","vem",6
"134","voto","nunca",6
"135","fechar","prefeito",6
"136","bolsonaro","vergonha",6
"137","abençoe","sabedoria",6
"138","bolsonaro","ajudar",6
"139","bolsonaro","maior",6
"140","povo","lado",6
"141","bolsonaro","lado",6
"142","poder","esquerda",6
"143","bolsonaro","políticos",6
"144","stf","governadores",6
"145","bolsonaro","próximo",6
"146","povo","certo",6
"147","bolsonaro","culpa",6
"148","sempre","amém",6
"149","política","campanha",6
"150","bolsonaro","saber",6
"151","bolsonaro","vereadores",6
"152","bolsonaro","biden",6
"153","eleições","eua",6
"154","bolsonaro","comando",6
"155","bolsonaro","rj",6
"156","bolsonaro","votos",6
"157","campanha","corrupção",6
"158","esquerda","direita",6
"159","campanha","combate",6
"160","comunista","esquerdista",6
"161","bolsonaro","nova",6
"162","campanha","nova",6
"163","chuva","louvores",6
"164","política","promessas",6
"165","corrupção","promessas",6
"166","combate","promessas",6
"167","nova","promessas",6
"168","cumprir","promessas",6
"169","passando","fome",5
